Model Name,State Dim,Action Dim,Transition Density,Transition Average,Transition Std,Reward Density,Reward Average,Reward Std,Final Precision,Discount,Best Solver
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.001,0.99,marmote_vigs
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.0001,0.99,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-05,0.99,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-06,0.99,marmote_vigs
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.1,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.01,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.001,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,0.0001,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-05,0.999,marmote_vi
10000_10_replacement,10000,10,0.000179991,0.0001,0.4775792389243023,1.0,-446.0004997999801,700.7103449410022,1e-06,0.999,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.1,0.8,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.01,0.8,marmote_vi
100000_10_replacement,100000,10,1.799991e-05,1.0000000000000004e-05,0.4778741842378389,1.0,-446.0000499980002,700.6994828443966,0.001,0.8,marmote_vi
